fighter_name,first,last,nickname,height_cm,weight_lbs,reach_cm,stance,dob,url
Ricardo Abreu,Ricardo,Abreu,Demente,180.3,185.0,,Orthodox,1984-04-27,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson Abreu,Klidson,Abreu,White Bear,182.9,205.0,188.0,Orthodox,1992-12-24,http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg Abreu,Cyborg,Abreu,,,,,,1980-12-20,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel Acacio,Daniel,Acacio,,172.7,180.0,,Orthodox,1977-12-27,http://ufcstats.com/fighter-details/1c5879330d42255f
John Adajar,John,Adajar,The Outlaw,175.3,170.0,190.5,Orthodox,1991-06-22,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott Adams,Scott,Adams,,182.9,225.0,,Southpaw,,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan Adams,Juan,Adams,The Kraken,195.6,265.0,203.2,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony Adams,Anthony,Adams,Sugafoot,185.4,185.0,193.0,Orthodox,1988-01-13,http://ufcstats.com/fighter-details/a77633a989013265
Matt Adams,Matt,Adams,Bad,,256.0,,,1997-09-07,http://ufcstats.com/fighter-details/acff8cdcfc634cb5
Zarrukh Adashev,Zarrukh,Adashev,The Lion,165.1,125.0,165.1,Southpaw,1992-07-29,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel Adesanya,Israel,Adesanya,The Last Stylebender,193.0,185.0,203.2,Switch,1989-07-22,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam Adkins,Sam,Adkins,The Experience,190.5,225.0,,Orthodox,1965-04-26,http://ufcstats.com/fighter-details/0e9869d712e81f8f
Mohamed Ado,Mohamed,Ado,,180.3,170.0,193.0,Switch,2000-05-03,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick Agallar,Nick,Agallar,,172.7,155.0,,Orthodox,1979-01-13,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Mariya Agapova,Mariya,Agapova,Money Mashka,167.6,125.0,172.7,Southpaw,1997-04-07,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Kantharaj Agasa,Kantharaj,Agasa,Kannadiga,,135.0,,,1992-02-16,http://ufcstats.com/fighter-details/26f4288e83188c61
Marcelo Aguiar,Marcelo,Aguiar,,177.8,170.0,,Orthodox,,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio Aguiar,Fabio,Aguiar,,182.9,185.0,,,1988-02-10,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin Aguilar,Edwin,Aguilar,Tigre,177.8,185.0,,,,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Jessica Aguilar,Jessica,Aguilar,Jag,160.0,115.0,160.0,Orthodox,1982-05-08,http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin Aguilar,Kevin,Aguilar,Angel of Death,170.2,155.0,185.4,Orthodox,1988-09-07,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus Aguilar,Jesus,Aguilar,,162.6,125.0,157.5,Orthodox,1996-03-13,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian Aguilera,Christian,Aguilera,The Beast,175.3,170.0,182.9,Switch,1991-11-25,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick Aguirre,Nick,Aguirre,Slick,175.3,135.0,188.0,Southpaw,1996-01-15,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
Agulali,,Agulali,,175.3,125.0,170.2,Switch,2005-04-07,http://ufcstats.com/fighter-details/b2efa582adf73604
Ahejiang Ailinuer,Ahejiang,Ailinuer,,,145.0,,,,http://ufcstats.com/fighter-details/ff584c17bccbae0b
Mike Aina,Mike,Aina,Iron,175.3,155.0,,Orthodox,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Ashiek Ajim,Ashiek,Ajim,Peak Physique,172.7,135.0,180.3,Switch,1994-06-19,http://ufcstats.com/fighter-details/49dea784f6cfed71
Hitomi Akano,Hitomi,Akano,Girlfight Monster,162.6,135.0,,Southpaw,1974-07-27,http://ufcstats.com/fighter-details/2eada40ac8801559
Omari Akhmedov,Omari,Akhmedov,Wolverine,182.9,185.0,185.4,Orthodox,1987-10-12,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro Akiyama,Yoshihiro,Akiyama,,177.8,170.0,190.5,Orthodox,1975-07-29,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem Akman,Rostem,Akman,,177.8,170.0,182.9,Switch,1991-12-19,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak Al-Hassan,Razak,Al-Hassan,,188.0,205.0,,Orthodox,1982-05-14,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Abdul-Kareem Al-Selwady,Abdul-Kareem,Al-Selwady,Pride of Palestine,172.7,155.0,175.3,Orthodox,1995-04-10,http://ufcstats.com/fighter-details/597499ac7a5aac62
Mostapha Al-Turk,Mostapha,Al-Turk,,188.0,245.0,195.6,Orthodox,1973-07-14,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem Alacabek,Herdem,Alacabek,,188.0,205.0,190.5,Orthodox,1991-06-07,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi Alanis,Javi,Alanis,,167.6,135.0,,,,http://ufcstats.com/fighter-details/2144954270be834d
Alatengheili,,Alatengheili,The Mongolian Knight,165.1,135.0,167.6,Orthodox,1991-12-14,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir Albazi,Amir,Albazi,The Prince,165.1,125.0,172.7,Orthodox,1993-10-27,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett Albee,Brett,Albee,,,225.0,,,,http://ufcstats.com/fighter-details/9b28292abe3166d5
John Albert,John,Albert,Prince,172.7,135.0,172.7,Orthodox,1986-10-13,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior Albini,Junior,Albini,Baby,190.5,264.0,188.0,Orthodox,1991-03-15,http://ufcstats.com/fighter-details/c482c8605455a213
Wes Albritton,Wes,Albritton,,177.8,188.0,,Orthodox,,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra Albu,Aleksandra,Albu,Stitch,157.5,115.0,160.0,Orthodox,1990-07-14,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel Albuquerque,Israel,Albuquerque,,,185.0,,Orthodox,,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan Alcain,Juan,Alcain,,,,,,,http://ufcstats.com/fighter-details/39f62b833e4cf126
Iuri Alcantara,Iuri,Alcantara,Marajo,175.3,135.0,180.3,Southpaw,1980-08-04,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar Alcantara,Ildemar,Alcantara,Marajo,188.0,185.0,198.1,Orthodox,1982-11-18,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso Alcarez,Alfonso,Alcarez,,160.0,145.0,,,1970-06-10,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert Aldana,Gilbert,Aldana,El Peligro,185.4,250.0,,Orthodox,1977-08-25,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene Aldana,Irene,Aldana,,175.3,135.0,172.7,Orthodox,1988-03-26,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector Aldana,Hector,Aldana,,180.3,170.0,182.9,Orthodox,1988-08-17,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose Alday,Jose,Alday,Pochito,170.2,135.0,172.7,Orthodox,1991-09-14,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose Aldo,Jose,Aldo,,170.2,135.0,177.8,Orthodox,1986-09-09,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ Aldrich,JJ,Aldrich,,165.1,125.0,170.2,Southpaw,1992-09-29,http://ufcstats.com/fighter-details/6fd953151d981979
Irina Alekseeva,Irina,Alekseeva,Russian Ronda,172.7,135.0,170.2,Orthodox,1990-06-27,http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita Alencar,Talita,Alencar,Problem Child,154.9,115.0,147.3,Orthodox,1990-10-17,http://ufcstats.com/fighter-details/d35298b6df168456
Jim Alers,Jim,Alers,The Beast,175.3,145.0,180.3,Orthodox,1986-10-14,http://ufcstats.com/fighter-details/fe5a9547479396ab
John Alessio,John,Alessio,The Natural,177.8,155.0,182.9,Orthodox,1979-07-05,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston Alexander,Houston,Alexander,The Assassin,182.9,205.0,182.9,Orthodox,1972-03-22,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth Alexander,Kenneth,Alexander,The Machine,175.3,155.0,,Orthodox,1977-09-25,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Lucas Alexander,Lucas,Alexander,The Lion,180.3,145.0,185.4,Orthodox,1995-07-28,http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio Alexandre Junior,Marcio,Alexandre Junior,Lyoto,182.9,185.0,190.5,Southpaw,1989-05-05,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf Alfonso,Olaf,Alfonso,,188.0,170.0,,Orthodox,1974-08-06,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo Alfonso,Pablo,Alfonso,The Hurricane,172.7,145.0,,,1983-05-09,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi Alford,Levi,Alford,,,,,,,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill Algeo,Bill,Algeo,Senor Perfecto,182.9,145.0,185.4,Switch,1989-06-09,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce Alger,Royce,Alger,,177.8,199.0,,Orthodox,,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir Aliakbari,Amir,Aliakbari,,190.5,250.0,,,1984-06-10,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan Aliev,Sultan,Aliev,,180.3,170.0,188.0,Orthodox,1984-09-17,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo Aliev,Nurullo,Aliev,Tajik Eagle,177.8,155.0,182.9,Orthodox,2000-12-08,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Kimbert Alintozon,Kimbert,Alintozon,The Hunter,,135.0,,,1999-01-21,http://ufcstats.com/fighter-details/a075a34d7527fadf
Ikram Aliskerov,Ikram,Aliskerov,,182.9,185.0,193.0,Southpaw,1992-12-07,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon Aliu,Leon,Aliu,The Albanian Lion,182.9,185.0,188.0,Orthodox,1989-07-14,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John Allan,John,Allan,,185.4,205.0,190.5,Orthodox,1993-02-22,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George Allen,George,Allen,,188.0,205.0,,Open Stance,1967-01-13,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold Allen,Arnold,Allen,Almighty,172.7,145.0,177.8,Southpaw,1994-01-22,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan Allen,Brendan,Allen,All In,188.0,185.0,190.5,Orthodox,1995-12-28,http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel Allen,Daniel,Allen,,182.9,155.0,190.5,Southpaw,1992-08-10,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben Alloway,Ben,Alloway,Blanco,180.3,170.0,193.0,Orthodox,1981-02-19,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu Almabayev,Asu,Almabayev,Zulfikar,162.6,125.0,165.1,Orthodox,1994-01-25,http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat Almakhan,Bekzat,Almakhan,The Turan Warrior,170.2,135.0,172.7,Orthodox,1997-10-08,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John Dave Almanza,John Dave,Almanza,The Striker,170.2,125.0,170.2,Southpaw,2004-03-22,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo Almeida,Ricardo,Almeida,Big Dog,182.9,170.0,188.0,Orthodox,1976-11-29,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno Almeida,Magno,Almeida,,182.9,155.0,,,1985-06-06,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas Almeida,Thomas,Almeida,Thominhas,170.2,145.0,177.8,Southpaw,1991-07-31,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka Almeida,Ericka,Almeida,,167.6,115.0,,Orthodox,1989-03-05,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani Almeida,Estefani,Almeida,,162.6,125.0,,Orthodox,1988-10-17,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton Almeida,Jailton,Almeida,Malhadinho,190.5,205.0,200.7,Orthodox,1991-06-26,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas Almeida,Lucas,Almeida,,180.3,145.0,180.3,Orthodox,1991-01-31,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar Almeida,Cesar,Almeida,Cesinha,185.4,185.0,188.0,Orthodox,1988-03-28,http://ufcstats.com/fighter-details/64d47ef881a437a4
Mauricio Alonso,Mauricio,Alonso,,188.0,170.0,,,1980-02-27,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah Alpar,Sarah,Alpar,Too Sweet,162.6,135.0,160.0,Southpaw,1991-06-01,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali AlQaisi,Ali,AlQaisi,The Royal Fighter,167.6,135.0,172.7,Orthodox,1990-09-23,http://ufcstats.com/fighter-details/e87a13e02c01331d
Abe Alsaghir,Abe,Alsaghir,The Killer,,155.0,,,2001-07-01,http://ufcstats.com/fighter-details/27a9ce2c04071efe
Rico Altamirano,Rico,Altamirano,,177.8,170.0,,,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor Altamirano,Victor,Altamirano,El Magnifico,172.7,125.0,177.8,Switch,1991-01-23,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike Altman,Mike,Altman,,177.8,185.0,,Orthodox,,http://ufcstats.com/fighter-details/c11036da9162cb5f
Patricia Alujas,Patricia,Alujas,The Angel,162.6,115.0,162.6,Orthodox,1996-05-08,http://ufcstats.com/fighter-details/430c533614d45813
Sean Alvarez,Sean,Alvarez,,182.9,235.0,,Orthodox,1971-07-14,http://ufcstats.com/fighter-details/e741536153227386
Eddie Alvarez,Eddie,Alvarez,,175.3,155.0,175.3,Orthodox,1984-01-11,http://ufcstats.com/fighter-details/33a331684283900f
Jaime Alvarez,Jaime,Alvarez,,172.7,125.0,175.3,Orthodox,1988-03-08,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel Alvarez,Joel,Alvarez,El Fenomeno,190.5,155.0,195.6,Orthodox,1993-03-02,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago Alves,Thiago,Alves,Pitbull,175.3,170.0,177.8,Orthodox,1983-10-03,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony Alves,Anthony,Alves,,,,,,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar Alves,Amilcar,Alves,,182.9,170.0,,Southpaw,1988-08-08,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley Alves,Warlley,Alves,,180.3,185.0,182.9,Orthodox,1991-01-04,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael Alves,Rafael,Alves,The Turn,172.7,155.0,172.7,Orthodox,1990-11-14,http://ufcstats.com/fighter-details/029afd138865d20a
Sam Alvey,Sam,Alvey,Smile'N,188.0,185.0,190.5,Southpaw,1986-05-06,http://ufcstats.com/fighter-details/d156513a19acf856
Christopher Alvidrez,Christopher,Alvidrez,The Newborn,182.9,170.0,188.0,Orthodox,1996-12-27,http://ufcstats.com/fighter-details/f4abf9aeda861283
Mahamed Aly,Mahamed,Aly,,188.0,205.0,198.1,Orthodox,1994-01-11,http://ufcstats.com/fighter-details/86c1441676af2c73
Andre Amado,Andre,Amado,Dida,182.9,154.0,,Orthodox,,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan Amagov,Adlan,Amagov,Borz,188.0,170.0,193.0,Orthodox,1986-10-30,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara Amanajas dos Santos,Maiara,Amanajas dos Santos,,165.1,115.0,,Southpaw,1987-07-11,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Chris Amarante,Chris,Amarante,,,185.0,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy Ambriz,Jimmy,Ambriz,The Titan,188.0,315.0,,Southpaw,1970-01-26,http://ufcstats.com/fighter-details/c912f676692c353a
JJ Ambrose,JJ,Ambrose,,177.8,170.0,,Orthodox,,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen Amedovski,Alen,Amedovski,,177.8,185.0,188.0,Orthodox,1988-04-06,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder Amil,Hyder,Amil,The Hurricane,175.3,145.0,177.8,Switch,1990-05-28,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Hamid Amiri,Hamid,Amiri,The Storm,,145.0,,,2003-06-15,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Makwan Amirkhani,Makwan,Amirkhani,Mr. Finland,177.8,145.0,182.9,Southpaw,1988-11-08,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline Amorim,Jaqueline,Amorim,,160.0,115.0,172.7,Orthodox,1995-06-24,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Yaroslav Amosov,Yaroslav,Amosov,,,185.0,,,1993-09-09,http://ufcstats.com/fighter-details/f139d6836efd43dd
Bertrand Amoussou,Bertrand,Amoussou,,172.7,190.0,,Orthodox,,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl Amoussou,Karl,Amoussou,The Psycho,180.3,185.0,,Orthodox,1985-11-21,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk Anders,Eryk,Anders,Ya Boi,185.4,185.0,190.5,Southpaw,1987-04-21,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt Andersen,Matt,Andersen,,188.0,230.0,,Southpaw,1971-05-29,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy Anderson,Andy,Anderson,The Hammer,167.6,240.0,,,1974-07-16,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell Anderson,Lowell,Anderson,,167.6,160.0,,Orthodox,,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey Anderson,Corey,Anderson,Overtime,190.5,205.0,200.7,Orthodox,1989-09-22,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek Anderson,Derek,Anderson,Barbaric,182.9,155.0,,,1990-02-02,http://ufcstats.com/fighter-details/19ba965651486013
Megan Anderson,Megan,Anderson,,182.9,145.0,182.9,Orthodox,1990-02-11,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Liam Anderson,Liam,Anderson,,190.5,185.0,190.5,Orthodox,1995-01-13,http://ufcstats.com/fighter-details/b03a0c78ca45facf
Damien Anderson,Damien,Anderson,Demon Hands,,145.0,,Southpaw,1997-01-04,http://ufcstats.com/fighter-details/df619b9a86ce0a9a
Tatsuya Ando,Tatsuya,Ando,Kirinji,162.6,145.0,172.7,Southpaw,1990-04-26,http://ufcstats.com/fighter-details/17615148dd4be6f6
Alex Andrade,Alex,Andrade,El Toro,180.3,200.0,,Orthodox,1974-05-14,http://ufcstats.com/fighter-details/1562b12763cc8d67
Jessica Andrade,Jessica,Andrade,Bate Estaca,154.9,115.0,157.5,Orthodox,1991-09-25,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi Andrade,Viscardi,Andrade,,180.3,170.0,190.5,Orthodox,1984-03-08,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine Andre,Jermaine,Andre,,170.2,200.0,,Orthodox,,http://ufcstats.com/fighter-details/9bad58fa651d6196
Fellipe Andrew,Fellipe,Andrew,,,,,,1994-10-24,http://ufcstats.com/fighter-details/7977fb0fd9c5955d
Dylan Andrews,Dylan,Andrews,The Villain,185.4,185.0,188.0,Switch,1979-11-15,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Reese Andy,Reese,Andy,Riptide,182.9,205.0,,Orthodox,1973-03-31,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
Angga,,Angga,The Hitman,170.2,145.0,172.7,Orthodox,1989-01-13,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Julius Anglickas,Julius,Anglickas,,190.5,205.0,,Orthodox,1991-07-23,http://ufcstats.com/fighter-details/e20ad078a7d63361
Collin Anglin,Collin,Anglin,,175.3,145.0,180.3,Orthodox,1993-02-20,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad Anheliger,Chad,Anheliger,The Monster,167.6,135.0,162.6,Orthodox,1986-12-01,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Yoji Anjo,Yoji,Anjo,Mr. 200%,180.3,205.0,,Orthodox,1967-03-28,http://ufcstats.com/fighter-details/e06fd1260ac865a7
Magomed Ankalaev,Magomed,Ankalaev,,190.5,205.0,190.5,Orthodox,1992-06-02,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad Antigulov,Gadzhimurad,Antigulov,,180.3,205.0,177.8,Orthodox,1987-02-09,http://ufcstats.com/fighter-details/af997f7611673880
Adam Antolin,Adam,Antolin,Captain Chaos,165.1,125.0,160.0,Orthodox,1982-02-28,http://ufcstats.com/fighter-details/25b31165758402dd
Angelo Antonio,Angelo,Antonio,,,205.0,,Orthodox,,http://ufcstats.com/fighter-details/dbd198f780286aca
Vanilto Antunes,Vanilto,Antunes,,182.9,170.0,182.9,Orthodox,1994-12-28,http://ufcstats.com/fighter-details/cc49ada1ea955b13
Azunna Anyanwu,Azunna,Anyanwu,Zulu,185.4,251.0,,Orthodox,1981-08-05,http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho Anzai,Shinsho,Anzai,Animal,170.2,170.0,177.8,Orthodox,1985-12-01,http://ufcstats.com/fighter-details/4665f9f909cd7214
Jin Aoi,Jin,Aoi,,167.6,145.0,172.7,Orthodox,1997-01-21,http://ufcstats.com/fighter-details/031da10a00c8ccd4
Shinya Aoki,Shinya,Aoki,Tobikan Judan,180.3,154.0,,Southpaw,1983-05-09,http://ufcstats.com/fighter-details/79ded75550efc139
Aoriqileng,,Aoriqileng,The Mongolian Murderer,170.2,135.0,175.3,Orthodox,1993-06-25,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Josh Appelt,Josh,Appelt,,177.8,255.0,,Southpaw,1983-06-19,http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik Apple,Erik,Apple,,182.9,170.0,,Orthodox,1977-08-26,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji Arai,Kenji,Arai,,177.8,145.0,,Southpaw,1979-10-05,http://ufcstats.com/fighter-details/269d103c96a4c3a5
Romie Aram,Romie,Aram,,177.8,170.0,,Orthodox,1977-12-02,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
Felipe Arantes,Felipe,Arantes,Sertanejo,172.7,135.0,185.4,Orthodox,1988-02-09,http://ufcstats.com/fighter-details/71002dbc1743b9a7
Igor Araujo,Igor,Araujo,,185.4,170.0,195.6,Orthodox,1980-12-06,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane Araujo,Viviane,Araujo,Vivi,162.6,125.0,172.7,Orthodox,1986-11-21,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Julio Arce,Julio,Arce,,170.2,145.0,177.8,Southpaw,1989-10-27,http://ufcstats.com/fighter-details/1291edf2d566a71a
Art Arciniega,Art,Arciniega,King Arthur,172.7,145.0,,,1981-10-15,http://ufcstats.com/fighter-details/d25e39e74efb0a77
Alice Ardelean,Alice,Ardelean,,160.0,115.0,157.5,Orthodox,1992-04-19,http://ufcstats.com/fighter-details/87f8699fdcc2c404
Tristan Arenal,Tristan,Arenal,,,155.0,,,,http://ufcstats.com/fighter-details/9c9455912d917e4e
Gabriel Arges,Gabriel,Arges,,,170.0,,,1993-01-29,http://ufcstats.com/fighter-details/db3c4a884d704efe
Dan Argueta,Dan,Argueta,The Determined,170.2,135.0,172.7,Southpaw,1993-08-13,http://ufcstats.com/fighter-details/e4ba58725825412d
Reza Arianto,Reza,Arianto,The Crazy Lion,,155.0,,,,http://ufcstats.com/fighter-details/90063913321e7670
Ryoga Arimoto,Ryoga,Arimoto,,,125.0,,,1998-12-07,http://ufcstats.com/fighter-details/e0e1801e8721af17
Hashem Arkhagha,Hashem,Arkhagha,,188.0,185.0,190.5,Orthodox,1989-09-11,http://ufcstats.com/fighter-details/9a7ffa80766caa51
Andrei Arlovski,Andrei,Arlovski,The Pitbull,190.5,240.0,195.6,Orthodox,1979-02-04,http://ufcstats.com/fighter-details/3738e68d2261e60f
Garrett Armfield,Garrett,Armfield,,167.6,135.0,177.8,Orthodox,1996-10-09,http://ufcstats.com/fighter-details/1effd880e1f1bb30
Joey Armstrong,Joey,Armstrong,,,,,,,http://ufcstats.com/fighter-details/30ad2050273d016a
Austin Arnett,Austin,Arnett,,182.9,145.0,182.9,Orthodox,1991-10-22,http://ufcstats.com/fighter-details/bf0e700106d00e55
Ricardo Arona,Ricardo,Arona,The Brazilian Tiger,180.3,205.0,,Orthodox,1978-07-17,http://ufcstats.com/fighter-details/05fbfe628658c538
Eli Aronov,Eli,Aronov,The Israeli Tank,177.8,185.0,182.9,Orthodox,1996-06-06,http://ufcstats.com/fighter-details/a90c200c3fbb22c4
